timestamp,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume,ripple_price,ripple_market_cap,ripple_volume,bitcoin_pct_return,bitcoin_log_return,ethereum_pct_return,ethereum_log_return,ripple_pct_return,ripple_log_return
2026-02-07 02:02:25.118000+00:00,70471.75839223956,1408479938966.4165,108575067303.52345,2063.329143550518,248790003972.83542,55975048922.16876,1.4733342578765374,89848429793.71507,11657353107.316065,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-07 02:02:28.253000+00:00,70471.75839223956,1408479938966.4165,108575067303.52345,2062.0162894338673,248594709445.76874,55702913793.74392,1.4733342578765374,89848429793.71507,11657353107.316065,0.0,0.0,-0.0006362795391875453,-0.0006364820509208109,0.0,0.0
2026-02-07 02:02:28.548000+00:00,70397.81706129832,1406576321123.0227,106203835244.02132,2060.7034353172166,248399414918.70203,55430778665.31908,1.4733342578765374,89848429793.71507,11657353107.316065,-0.001049233517484871,-0.0010497843483057924,-0.000636684648602448,-0.0006368874183448204,0.0,0.0
2026-02-07 03:03:03.055000+00:00,70323.87573035707,1404672703279.629,103832603184.51918,2059.3905812005655,248204120391.6353,55158643536.894226,1.468614445461252,89510064569.13478,11042487061.265272,-0.0010503355647641932,-0.001050887553713097,-0.0006370902742000029,-0.0006372933024448694,-0.0032034905793122403,-0.003208632740103937
2026-02-07 03:03:04.045000+00:00,70441.21781454745,1407171205667.08,103666386592.09602,2058.077727083915,248008825864.56863,54886508408.46938,1.4638946330459663,89171699344.55449,10427621015.214481,0.0016685952384123404,0.0016672046800153629,-0.0006374964169668651,-0.0006376997042088715,-0.003213785912206002,-0.00321896121333201
2026-02-07 03:03:08.449000+00:00,70558.55989873782,1409669708054.531,103500169999.67288,2063.419401489081,248746415432.69775,54808424770.119736,1.459174820630681,88833334119.9742,9812754969.163689,0.0016658156663234003,0.0016644297343309958,0.002595467768233828,0.0025921053585265695,-0.0032241476324459395,-0.0032293563953174438
2026-02-07 04:00:25.721000+00:00,70675.90198292819,1412168210441.982,103333953407.24973,2068.7610758942474,249484005000.8269,54730341131.770096,1.4723076186015724,89667039457.33041,9778663425.979403,0.0016630453393433609,0.001661664010705719,0.0025887487542821663,0.0025854037159579487,0.009000153912479991,0.008959893911083651
2026-02-07 04:00:54.461000+00:00,70793.24406711856,1414666712829.433,103167736814.82657,2074.1027502994134,250221594568.95602,54652257493.420456,1.468577203015895,89446008668.554,9723568642.126467,0.0016602842114235017,0.0016589074632436774,0.002582064438184206,0.002578736636969957,-0.0025337202216073607,-0.002536935522952372
2026-02-07 04:00:56.250000+00:00,70774.19002811256,1414192174684.3025,102738383618.46597,2079.4444247045794,250959184137.08514,54574173855.07081,1.4648467874302176,89224977879.77759,9668473858.27353,-0.00026915052780940307,-0.00026918675531329344,0.00257541455185617,0.0025721038548590877,-0.0025401562669069566,-0.002543387937629553
2026-02-07 05:03:11.979000+00:00,70755.13598910655,1413717636539.1719,102309030422.10536,2082.7799120505633,251370249215.8777,54861041953.4589,1.4611163718445401,89003947091.00117,9613379074.420593,-0.0002692229893190845,-0.0002692592363339059,0.0016040281271079149,0.0016027430480101193,-0.0025466250925952894,-0.002549873258021348
2026-02-07 05:03:37.248000+00:00,70736.08195010055,1413243098394.041,101879677225.74475,2086.1153993965468,251781314294.67023,55147910051.84699,1.4603726324127104,88944180744.67516,9560766348.42999,-0.0002692954898558808,-0.00026933175639739935,0.001601459341279865,0.0016001783726993526,-0.0005090213525502651,-0.0005091509478986735
2026-02-07 05:04:20.268000+00:00,70717.02791109454,1412768560248.9104,101450324029.38416,2084.6693970416763,251502951708.9334,54714366399.34559,1.459628892980881,88884414398.34914,9508153622.439386,-0.0002693680294513223,-0.0002694043155353212,-0.0006931554962341657,-0.0006933958395751018,-0.0005092805872435324,-0.0005094103146487731
2026-02-07 06:04:03.769000+00:00,70109.21450925693,1398173184276.451,99122888504.07677,2083.2233946868064,251224589123.19662,54280822746.844185,1.4588851535490512,88824648052.0231,9455540896.448784,-0.008595007734229942,-0.008632157836655422,-0.0006936362940435092,-0.0006938769709989997,-0.0005095400861179211,-0.0005096699457819449
2026-02-07 06:04:04+00:00,69698.94109735126,1391421587376.8972,98790915480.21028,2081.777392331936,250946226537.4598,53847279094.34278,1.4581414141172218,88764881705.69708,9402928170.45818,-0.005851918535636935,-0.005869108105022836,-0.0006941177593139392,-0.0006943587705790896,-0.0005097998495769973,-0.0005099298417021663
2026-02-07 06:04:07.266000+00:00,69288.6676854456,1384669990477.3433,98458942456.34378,2073.839809459641,250190636227.80658,53249989166.78719,1.457397674685392,88705115359.37106,9350315444.467577,-0.005886365064465049,-0.005903757998995479,-0.003812887440094448,-0.0038201750258038602,-0.0005100598780263255,-0.0005101900028154155
2026-02-07 07:01:09.434000+00:00,68878.39427353993,1377918393577.7896,98126969432.4773,2065.9022265873464,249435045918.15338,52652699239.231606,1.452135292905543,88496538033.11717,9864210745.415672,-0.005921219524211541,-0.005938819454295168,-0.003827481195070148,-0.0038348247454089135,-0.0036108070372659062,-0.0036173417360961828
2026-02-07 07:02:38.654000+00:00,68713.28862607777,1374581099701.8884,98384961234.04662,2057.9646437150514,248679455608.50018,52055409311.67602,1.4468729111256944,88287960706.86328,10378106046.36377,-0.0023970600534976017,-0.0023999376013039745,-0.0038421870939202574,-0.003849587256039113,-0.0036238922127699302,-0.0036304744170990964
2026-02-07 07:03:12.506000+00:00,68548.18297861562,1371243805825.9875,98642953035.61595,2050.0270608427563,247923865298.84695,51458119384.12043,1.430205326839752,87212660135.84392,9668916591.126347,-0.0024028197567522724,-0.002405711160754381,-0.0038570064342631216,-0.0038644638653292343,-0.011519729312628124,-0.011586595409925576
