timestamp,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume,ripple_price,ripple_market_cap,ripple_volume
2026-02-07 02:02:25.118000+00:00,70471.75839223956,1408479938966.4165,108575067303.52345,2063.329143550518,248790003972.83542,55975048922.16876,1.4733342578765374,89848429793.71507,11657353107.316065
2026-02-07 02:02:28.253000+00:00,70471.75839223956,1408479938966.4165,108575067303.52345,2062.0162894338673,248594709445.76874,55702913793.74392,1.4733342578765374,89848429793.71507,11657353107.316065
2026-02-07 02:02:28.548000+00:00,70397.81706129832,1406576321123.0227,106203835244.02132,2060.7034353172166,248399414918.70203,55430778665.31908,1.4733342578765374,89848429793.71507,11657353107.316065
2026-02-07 03:03:03.055000+00:00,70323.87573035707,1404672703279.629,103832603184.51918,2059.3905812005655,248204120391.6353,55158643536.894226,1.468614445461252,89510064569.13478,11042487061.265272
2026-02-07 03:03:04.045000+00:00,70441.21781454745,1407171205667.08,103666386592.09602,2058.077727083915,248008825864.56863,54886508408.46938,1.4638946330459663,89171699344.55449,10427621015.214481
2026-02-07 03:03:08.449000+00:00,70558.55989873782,1409669708054.531,103500169999.67288,2063.419401489081,248746415432.69775,54808424770.119736,1.459174820630681,88833334119.9742,9812754969.163689
2026-02-07 04:00:25.721000+00:00,70675.90198292819,1412168210441.982,103333953407.24973,2068.7610758942474,249484005000.8269,54730341131.770096,1.4723076186015724,89667039457.33041,9778663425.979403
2026-02-07 04:00:54.461000+00:00,70793.24406711856,1414666712829.433,103167736814.82657,2074.1027502994134,250221594568.95602,54652257493.420456,1.468577203015895,89446008668.554,9723568642.126467
2026-02-07 04:00:56.250000+00:00,70774.19002811256,1414192174684.3025,102738383618.46597,2079.4444247045794,250959184137.08514,54574173855.07081,1.4648467874302176,89224977879.77759,9668473858.27353
2026-02-07 05:03:11.979000+00:00,70755.13598910655,1413717636539.1719,102309030422.10536,2082.7799120505633,251370249215.8777,54861041953.4589,1.4611163718445401,89003947091.00117,9613379074.420593
2026-02-07 05:03:37.248000+00:00,70736.08195010055,1413243098394.041,101879677225.74475,2086.1153993965468,251781314294.67023,55147910051.84699,1.4603726324127104,88944180744.67516,9560766348.42999
2026-02-07 05:04:20.268000+00:00,70717.02791109454,1412768560248.9104,101450324029.38416,2084.6693970416763,251502951708.9334,54714366399.34559,1.459628892980881,88884414398.34914,9508153622.439386
2026-02-07 06:04:03.769000+00:00,70109.21450925693,1398173184276.451,99122888504.07677,2083.2233946868064,251224589123.19662,54280822746.844185,1.4588851535490512,88824648052.0231,9455540896.448784
2026-02-07 06:04:04+00:00,69698.94109735126,1391421587376.8972,98790915480.21028,2081.777392331936,250946226537.4598,53847279094.34278,1.4581414141172218,88764881705.69708,9402928170.45818
2026-02-07 06:04:07.266000+00:00,69288.6676854456,1384669990477.3433,98458942456.34378,2073.839809459641,250190636227.80658,53249989166.78719,1.457397674685392,88705115359.37106,9350315444.467577
2026-02-07 07:01:09.434000+00:00,68878.39427353993,1377918393577.7896,98126969432.4773,2065.9022265873464,249435045918.15338,52652699239.231606,1.452135292905543,88496538033.11717,9864210745.415672
2026-02-07 07:02:38.654000+00:00,68713.28862607777,1374581099701.8884,98384961234.04662,2057.9646437150514,248679455608.50018,52055409311.67602,1.4468729111256944,88287960706.86328,10378106046.36377
2026-02-07 07:03:12.506000+00:00,68548.18297861562,1371243805825.9875,98642953035.61595,2050.0270608427563,247923865298.84695,51458119384.12043,1.430205326839752,87212660135.84392,9668916591.126347
2026-02-07 08:03:19.483000+00:00,68383.07733115344,1367906511950.0864,98900944837.18527,2037.7896270878791,246281544051.67633,51610051759.71748,1.4135377425538096,86137359564.82455,8959727135.888924
2026-02-07 08:03:42.762000+00:00,68217.97168369128,1364569218074.1855,99158936638.75461,2025.5521933330022,244639222804.5057,51761984135.31453,1.415785075257468,86299351867.46368,8988726717.270697
2026-02-07 08:03:51.218000+00:00,68052.86603622913,1361231924198.2844,99416928440.32393,2024.198213644161,244454572659.4061,49611045078.0948,1.4180324079611266,86461344170.10281,9017726298.65247
2026-02-07 09:02:30.609000+00:00,68503.0750122388,1369604200204.4138,99303906320.82433,2022.8442339553196,244269922514.30646,47460106020.87507,1.4202797406647851,86623336472.74196,9046725880.034245
2026-02-07 09:02:30.721000+00:00,68349.63449550062,1366429779569.571,99182795804.5866,2021.4902542664784,244085272369.20685,45309166963.65534,1.4225270733684436,86785328775.38109,9075725461.416018
2026-02-07 09:02:31.906000+00:00,68196.19397876246,1363255358934.7283,99061685288.34888,2018.1116786576995,243633331033.83862,46444417341.68538,1.4247744060721022,86947321078.02022,9104725042.79779
2026-02-07 10:00:17.946000+00:00,68042.75346202428,1360080938299.8855,98940574772.11115,2014.7331030489204,243181389698.47043,47579667719.71542,1.4202078832096536,86611460623.97,8985751570.348827
2026-02-07 10:00:23.720000+00:00,68021.85344256091,1359338579568.5415,98596419881.85562,2011.3545274401415,242729448363.1022,48714918097.74546,1.4156413603472051,86275600169.91977,8866778097.899866
2026-02-07 10:03:23.925000+00:00,68000.95342309753,1358596220837.1975,98252264991.6001,2010.6392302537306,242571969674.109,47646770030.73132,1.4110748374847566,85939739715.86955,8747804625.450903
2026-02-07 11:01:11.979000+00:00,67980.05340363414,1357853862105.8535,97908110101.34456,2009.9239330673195,242414490985.11578,46578621963.71718,1.4074354635865325,85684844992.46889,9097059096.954422
2026-02-07 11:02:29.277000+00:00,67959.15338417077,1357111503374.5095,97563955211.08904,2011.588967401927,242565618391.59692,46636214775.17737,1.4037960896883082,85429950269.06822,9446313568.45794
2026-02-07 11:02:30.504000+00:00,67930.96827194099,1355695690523.915,97386015572.9877,2013.2540017365345,242716745798.07806,46693807586.63755,1.400156715790084,85175055545.66756,9795568039.961458
2026-02-07 12:03:09.434000+00:00,67902.78315971121,1354279877673.3208,97208075934.88637,2014.9190360711418,242867873204.5592,46751400398.09773,1.3918810057017332,84623744558.53621,9603835065.838606
2026-02-07 12:03:10.104000+00:00,68168.97488780547,1360095364954.6482,97664023505.36194,2016.5840704057493,243019000611.04034,46808993209.55792,1.40130988771525,85244990708.65205,9670090255.752686
2026-02-07 13:02:35.273000+00:00,68435.16661589974,1365910852235.9756,98119971075.8375,2040.7458271467165,246252056081.6982,46648814867.81909,1.4107387697287666,85866236858.76791,9736345445.666763
2026-02-07 13:02:49.205000+00:00,68701.35834399401,1371726339517.303,98575918646.31306,2039.881385648113,246114278256.98755,46470133031.724655,1.4201676517422832,86487483008.88376,9802600635.580843
2026-02-07 13:02:51.796000+00:00,68967.55007208827,1377541826798.6304,99031866216.78864,2039.01694414951,245976500432.2769,46291451195.63021,1.4156723309894685,86210297184.66693,9307278106.986055
2026-02-07 14:02:45.726000+00:00,68966.60908394787,1377943733016.2556,96148208102.0116,2038.1525026509066,245838722607.56622,46112769359.53577,1.4111770102366537,85933111360.45012,8811955578.391268
2026-02-07 14:02:59.621000+00:00,68835.13468763522,1375108398460.9336,94486099362.64435,2037.2880611523033,245700944782.85556,45934087523.44133,1.406681689483839,85655925536.2333,8316633049.796479
2026-02-07 14:03:41.327000+00:00,68703.66029132257,1372273063905.6116,92823990623.27708,2030.6834291826174,244934074658.51935,44561564520.3533,1.4021863687310243,85378739712.01648,7821310521.201692
2026-02-07 15:03:17.965000+00:00,68572.18589500991,1369437729350.2896,91161881883.90984,2024.0787972129315,244167204534.1831,43189041517.265274,1.400641850299662,85272209709.82262,7708635796.205551
2026-02-07 15:03:18.580000+00:00,68703.58915818974,1372081816220.0037,90207805178.87247,2017.4741652432456,243400334409.8469,41816518514.177246,1.3990973318682998,85165679707.62875,7595961071.209411
2026-02-07 15:03:21.728000+00:00,68834.99242136959,1374725903089.7178,89253728473.83508,2025.80354662194,244451223696.1963,41361041912.93892,1.3975528134369375,85059149705.43489,7483286346.21327
2026-02-07 16:03:55.055000+00:00,68966.39568454942,1377369989959.4316,88299651768.79771,2034.1329280006348,245502112982.54572,40905565311.7006,1.4080417439231605,85880480054.9441,6742711140.366911
2026-02-07 16:03:57.146000+00:00,69097.79894772926,1380014076829.1458,87345575063.76035,2042.4623093793293,246553002268.8951,40450088710.46228,1.4116738852780155,86063720246.86464,6734641243.551457
2026-02-07 16:03:57.235000+00:00,69050.35656503838,1378805721291.909,86508852448.18303,2050.791690758024,247603891555.2445,39994612109.22395,1.4153060266328708,86246960438.78519,6726571346.736004
2026-02-07 17:03:36.272000+00:00,69002.91418234751,1377597365754.6724,85672129832.6057,2050.4457082766,247507874421.47357,43053136915.99657,1.4189381679877258,86430200630.70572,6718501449.92055
2026-02-07 17:03:38.965000+00:00,68955.47179965663,1376389010217.4355,84835407217.02838,2050.0997257951763,247411857287.70264,46111661722.76917,1.4196778647872652,86480340808.29016,6566059785.296621
2026-02-07 17:03:39.774000+00:00,69016.47069651439,1379171777674.3047,84356509839.2854,2049.7537433137522,247315840153.9317,49170186529.54179,1.4204175615868047,86530480985.8746,6413618120.672691
2026-02-07 18:00:05.809000+00:00,69077.46959337214,1381954545131.1738,83877612461.54242,2053.306803691703,247766726455.87988,48410715666.14928,1.4211572583863443,86580621163.45906,6261176456.048761
2026-02-07 18:00:07.669000+00:00,69152.22628147826,1383019218315.7803,83051408071.58812,2056.859864069654,248217612757.82803,47651244802.75676,1.4218969551858838,86630761341.0435,6108734791.424832
2026-02-07 18:04:11.824000+00:00,69226.98296958438,1384083891500.3865,82225203681.6338,2060.412924447605,248668499059.7762,46891773939.36425,1.4321908359788869,87295297512.18944,6229103066.48024
2026-02-07 19:03:17.585000+00:00,69301.73965769049,1385148564684.993,81398999291.6795,2077.7503137071717,250773138297.98715,45844171733.563866,1.44248471677189,87959833683.33537,6349471341.535648
2026-02-07 19:03:26.084000+00:00,69376.49634579661,1386213237869.599,80572794901.72519,2095.087702966738,252877777536.1981,44796569527.76348,1.4385037798259823,87687193458.16037,6254365331.549252
