,bitcoin_price,ethereum_price,ripple_price
bitcoin_price,1.0,0.9250989122298394,0.5924332254373947
ethereum_price,0.9250989122298394,1.0,0.5854969705922655
ripple_price,0.5924332254373947,0.5854969705922655,1.0
