coin,mean_price,median_price,std_price,annualized_volatility,downside_volatility,max_price,min_price,time_of_max_price,time_of_min_price,avg_pct_return,avg_log_return
Bitcoin,67942.23405703375,67895.05975563782,1926.6854170334527,0.04012888069752037,0.02934659446901778,73669.77886917477,62905.750100773046,2026-03-04 20:03:48.853000+00:00,2026-02-24 14:02:46.857000+00:00,-2.466614693684004e-05,-2.6871111680267252e-05
Ethereum,1991.9037796681157,1979.0812396556582,68.58660861114086,0.05101105282679144,0.03708340166365309,2179.3034097539403,1815.540773781631,2026-03-04 20:03:55.663000+00:00,2026-02-24 14:02:50.027000+00:00,-2.1626153611240223e-05,-2.5185008974596694e-05
Ripple,1.4069100336664822,1.4059704951046188,0.04908419894017017,0.05270895418010228,0.04027943198751345,1.641233829076374,1.2779557957398355,2026-02-15 08:00:50.123000+00:00,2026-02-28 10:02:40.809000+00:00,-3.712796807222082e-05,-4.093453182245723e-05
